Id,SalePrice
1461,977221.1411523137
1462,4371320.219380011
1463,2903414.523781752
1464,909696.923442269
1465,14875384.773894053
1466,682149.3544191319
1467,1194504.5353085622
1468,4677781.324157886
1469,7165821.061814485
1470,6902914.099088303
1471,4315305.0743993
1472,7738129.016405226
1473,8164304.990044485
1474,3142028.4286950785
1475,251637.85472416575
1476,13290135.807138905
1477,7934114.0029208325
1478,11685171.225854602
1479,4142161.172031674
1480,46809751.83898108
1481,5931930.966239955
1482,9854187.568960592
1483,8483404.125087019
1484,13361129.346604876
1485,7082517.651156321
1486,11013572.232111717
1487,8651330.747129196
1488,12059632.593591262
1489,12908707.888832431
1490,12744356.092520706
1491,7567524.3418641975
1492,12908232.668375643
1493,8391683.484702166
1494,2732805.358626969
1495,6612838.366395598
1496,3588438.6699469015
1497,12396896.527762098
1498,10567096.891591433
1499,12285227.600166148
1500,14472326.74421423
1501,8478602.576442022
1502,5683304.015373889
1503,8963101.888227718
1504,10215437.491545456
1505,15614165.084643167
1506,5991348.199819998
1507,1754480.824557114
1508,10852511.506461361
1509,3979884.7443346838
1510,6428647.502259263
1511,1530533.1235845895
1512,5852570.9420186365
1513,1159493.8651211308
1514,5886744.0520666065
1515,9759745.072776945
1516,3051187.1735781212
1517,6511818.889559779
1518,5417901.995547798
1519,17232143.645246003
1520,2542815.524512718
1521,1814115.7801915957
1522,8653512.220387843
1523,2004620.3450707095
1524,500850.6061036451
1525,2600368.0067235
1526,5130417.1802291935
1527,6271331.084689391
1528,6946951.476072605
1529,335513.93157606665
1530,30846534.237867977
1531,1463481.2386956867
1532,8372367.367420905
1533,32040730.60009838
1534,4343462.826534776
1535,1598078.0897408072
1536,3505913.0315126684
1537,4329327.392945443
1538,4323777.720921695
1539,486692.09430814453
1540,208533.26562705592
1541,2555572.5313957506
1542,666955.4197017206
1543,4763088.743678538
1544,7900746.695577082
1545,11645298.331917783
1546,9215312.435793512
1547,10864862.307110576
1548,8123441.817345183
1549,1658974.0965089952
1550,4815026.778067613
1551,11444590.166354183
1552,6859437.813299285
1553,2922708.3812819673
1554,3911145.1647741976
1555,5826854.163626695
1556,2940012.2853327547
1557,6375778.862862548
1558,30405721.162443783
1559,9421158.923708672
1560,9061373.922318874
1561,27753412.872606274
1562,1175396.192776736
1563,1057285.035243928
1564,3018169.4012611792
1565,3904812.2256036745
1566,34363117.73101045
1567,1022247.3140361562
